"stream_name","stream_abreviation","Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"Córrego Cabelo Duro","CD",2023-09-11,"17:40:00",1.28033022,28.38,7.3,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"17:50:00",13.1897174,27.84,7.36,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"18:00:00",8.410130573,26.48,6.91,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"18:10:00",0.678112208,25.68,7.13,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"18:20:00",3.310714061,25.52,7.14,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"18:30:00",1.806765622,25.48,7.14,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"18:40:00",0.526986598,25.46,6.99,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"18:50:00",0.075597667,25.44,7.03,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"19:00:00",0,25.44,6.97,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"19:10:00",0,25.44,6.61,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"19:20:00",0,25.44,6.95,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"19:30:00",0,25.42,6.91,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"19:40:00",0,25.42,7.03,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"19:50:00",0,25.42,6.85,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"20:00:00",0,25.4,6.64,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"20:10:00",0,25.4,6.72,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"20:20:00",0,25.38,7.05,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"20:30:00",0,25.38,6.93,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"20:40:00",0,25.36,6.96,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"20:50:00",0,25.34,6.8,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"21:00:00",0,25.34,6.81,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"21:10:00",0,25.32,6.64,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"21:20:00",0,25.3,6.6,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"21:30:00",0,25.3,6.49,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"21:40:00",0,25.28,6.62,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"21:50:00",0,25.26,6.81,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"22:00:00",0,25.24,6.48,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"22:10:00",0,25.24,6.41,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"22:20:00",0,25.22,6.81,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"22:30:00",0,25.2,6.85,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"22:40:00",0,25.2,6.67,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"22:50:00",0,25.18,6.89,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"23:00:00",0,25.16,6.9,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"23:10:00",0,25.14,7.02,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"23:20:00",0,25.14,6.61,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"23:30:00",0,25.12,6.68,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"23:40:00",0,25.1,6.96,1,0
"Córrego Cabelo Duro","CD",2023-09-11,"23:50:00",0,25.1,6.5,1,0
"Córrego Cabelo Duro","CD",2023-09-12,"00:00:00",0,25.08,6.92,1,0
"Córrego Cabelo Duro","CD",2023-09-12,"00:10:00",0,25.08,7.05,1,0
"Córrego Cabelo Duro","CD",2023-09-12,"00:20:00",0,25.06,7.04,1,0
"Córrego Cabelo Duro","CD",2023-09-12,"00:30:00",0,25.04,6.63,1,0
"Córrego Cabelo Duro","CD",2023-09-12,"00:40:00",0,25.04,6.39,1,0
"Córrego Cabelo Duro","CD",2023-09-12,"00:50:00",0,25.02,7.01,1,0
