sampling_datetime,stream,do_mgL,spc_uS_cm,depth_m,calcium_mgL,calcium_g_m2,daytime,time_period,diff_h
2023-09-11 21:00:00,CD,6.81,334.7,2.3408336,43.981,102.9522026,Nighttime,21:00:00,0
2023-09-11 21:10:00,CD,6.64,332.6,2.3408336,43.498,101.8215799,Nighttime,21:10:00,0.166666667
2023-09-11 21:20:00,CD,6.6,322.3,2.3408336,41.129,96.27614513,Nighttime,21:20:00,0.333333333
2023-09-11 21:30:00,CD,6.49,321.6,2.3408336,40.968,95.89927092,Nighttime,21:30:00,0.5
2023-09-11 21:40:00,CD,6.62,369.6,2.3408336,52.008,121.7420739,Nighttime,21:40:00,0.666666667
2023-09-11 21:50:00,CD,6.81,369,2.3408336,51.87,121.4190388,Nighttime,21:50:00,0.833333333
2023-09-11 22:00:00,CD,6.48,386.1,2.3408336,55.803,130.6255374,Nighttime,22:00:00,1
2023-09-11 22:10:00,CD,6.41,384.7,2.3408336,55.481,129.871789,Nighttime,22:10:00,1.166666667
2023-09-11 22:20:00,CD,6.81,382.9,2.3408336,55.067,128.9026839,Nighttime,22:20:00,1.333333333
2023-09-11 22:30:00,CD,6.85,381.9,2.3408336,54.837,128.3642921,Nighttime,22:30:00,1.5
2023-09-11 22:40:00,CD,6.67,376.1,2.3408336,53.503,125.2416201,Nighttime,22:40:00,1.666666667
2023-09-11 22:50:00,CD,6.89,460,2.3408336,72.8,170.4126861,Nighttime,22:50:00,1.833333333
2023-09-11 23:00:00,CD,6.9,459.7,2.3408336,72.731,170.2511686,Nighttime,23:00:00,2
2023-09-12 13:00:00,CD,7.24,350.8,2.3408336,47.684,111.6203094,Daytime,13:00:00,0
2023-09-12 13:10:00,CD,7.34,350.6,2.3408336,47.638,111.512631,Daytime,13:10:00,0.166666667
2023-09-12 13:20:00,CD,6.99,351.2,2.3408336,47.776,111.8356661,Daytime,13:20:00,0.333333333
2023-09-12 13:30:00,CD,7.23,351.8,2.3408336,47.914,112.1587011,Daytime,13:30:00,0.5
2023-09-12 13:40:00,CD,7.38,351.8,2.3408336,47.914,112.1587011,Daytime,13:40:00,0.666666667
2023-09-12 13:50:00,CD,7.37,348.6,2.3408336,47.178,110.4358476,Daytime,13:50:00,0.833333333
2023-09-12 14:00:00,CD,7.16,346.6,2.3408336,46.718,109.3590641,Daytime,14:00:00,1
2023-09-12 14:10:00,CD,7.22,346.6,2.3408336,46.718,109.3590641,Daytime,14:10:00,1.166666667
2023-09-12 14:20:00,CD,7.37,345.6,2.3408336,46.488,108.8206724,Daytime,14:20:00,1.333333333
2023-09-12 14:30:00,CD,7.27,345.4,2.3408336,46.442,108.7129941,Daytime,14:30:00,1.5
2023-09-12 14:40:00,CD,7.2,344.4,2.3408336,46.212,108.1746023,Daytime,14:40:00,1.666666667
2023-09-12 14:50:00,CD,7.23,344.2,2.3408336,46.166,108.066924,Daytime,14:50:00,1.833333333
2023-09-12 15:00:00,CD,7.34,344.2,2.3408336,46.166,108.066924,Daytime,15:00:00,2
2023-09-12 15:10:00,CD,7.35,343.5,2.3408336,46.005,107.6900498,Daytime,15:10:00,2.166666667
2023-09-12 15:20:00,CD,7.34,343.3,2.3408336,45.959,107.5823714,Daytime,15:20:00,2.333333333
2023-09-12 15:30:00,CD,7.37,341.7,2.3408336,45.591,106.7209447,Daytime,15:30:00,2.5
2023-09-12 15:40:00,CD,7.35,341.6,2.3408336,45.568,106.6671055,Nighttime,15:40:00,0
2023-09-12 15:50:00,CD,6.98,341.8,2.3408336,45.614,106.7747838,Nighttime,15:50:00,0.166666667
2023-09-12 16:00:00,CD,7.3,341.7,2.3408336,45.591,106.7209447,Nighttime,16:00:00,0.333333333
2023-09-12 18:00:00,CD,7.18,343.9,2.3408336,46.097,107.9054065,Nighttime,18:00:00,2.333333333
2023-09-12 18:10:00,CD,7.13,343.9,2.3408336,46.097,107.9054065,Nighttime,18:10:00,2.5
2023-09-12 18:20:00,CD,7.01,343.2,2.3408336,45.936,107.5285322,Nighttime,18:20:00,2.666666667
2023-09-12 18:30:00,CD,7.18,343.3,2.3408336,45.959,107.5823714,Nighttime,18:30:00,2.833333333
2023-09-12 18:40:00,CD,7.15,346.3,2.3408336,46.649,109.1975466,Nighttime,18:40:00,3
2023-09-12 18:50:00,CD,7.04,346.4,2.3408336,46.672,109.2513858,Nighttime,18:50:00,3.166666667
2023-09-12 19:00:00,CD,7,347.2,2.3408336,46.856,109.6820992,Nighttime,19:00:00,3.333333333
2023-09-13 10:00:00,CD,7.23,334.8,2.3408336,44.004,103.0060417,Daytime,10:00:00,0
2023-09-13 10:10:00,CD,7.23,333.9,2.3408336,43.797,102.5214892,Daytime,10:10:00,0.166666667
2023-09-13 10:20:00,CD,7.21,334.1,2.3408336,43.843,102.6291675,Daytime,10:20:00,0.333333333
2023-09-13 10:30:00,CD,7.23,333.6,2.3408336,43.728,102.3599717,Daytime,10:30:00,0.5
