stream_name,stream_abreviation,sampling_date,sampling_datetime,time_period,travertine_deposition,par_umol_m2_s,temp_c,specific_cond_uS_cm,dissolved_oxygen_mgL,dissolved_oxygen_percent,calcium_mgL
Córrego Cabelo Duro,CD,20230911,20230911 17:40:00,Daytime,Active,1.28033022,28.38,482.9,7.3,97.8,77.667
Córrego Cabelo Duro,CD,20230911,20230911 17:50:00,Daytime,Active,13.1897174,27.84,478,7.36,97.6,76.54
Córrego Cabelo Duro,CD,20230911,20230911 18:00:00,Daytime,Active,8.410130573,26.48,468.3,6.91,89.5,74.309
Córrego Cabelo Duro,CD,20230911,20230911 18:10:00,Daytime,Active,0.678112208,25.68,473.6,7.13,90.9,75.528
Córrego Cabelo Duro,CD,20230911,20230911 18:20:00,Daytime,Active,3.310714061,25.52,472,7.14,90.8,75.16
Córrego Cabelo Duro,CD,20230911,20230911 18:30:00,Daytime,Active,1.806765622,25.48,470.8,7.14,90.8,74.884
Córrego Cabelo Duro,CD,20230911,20230911 18:40:00,Daytime,Active,0.526986598,25.46,457.2,6.99,88.8,71.756
Córrego Cabelo Duro,CD,20230911,20230911 18:50:00,Daytime,Active,0.075597667,25.44,386.1,7.03,89.3,55.403
Córrego Cabelo Duro,CD,20230911,20230911 19:00:00,Nighttime,Active,0,25.44,383.8,6.97,88.5,54.874
Córrego Cabelo Duro,CD,20230911,20230911 19:10:00,Nighttime,Active,0,25.44,384.6,6.61,83.9,55.058
Córrego Cabelo Duro,CD,20230911,20230911 19:20:00,Nighttime,Active,0,25.44,351.5,6.95,88.2,47.445
Córrego Cabelo Duro,CD,20230911,20230911 19:30:00,Nighttime,Active,0,25.42,360.4,6.91,87.8,49.492
Córrego Cabelo Duro,CD,20230911,20230911 19:40:00,Nighttime,Active,0,25.42,357.1,7.03,89.3,48.733
Córrego Cabelo Duro,CD,20230911,20230911 19:50:00,Nighttime,Active,0,25.42,374,6.85,87,52.62
Córrego Cabelo Duro,CD,20230911,20230911 20:00:00,Nighttime,Active,0,25.4,392.5,6.64,84.3,56.875
Córrego Cabelo Duro,CD,20230911,20230911 20:10:00,Nighttime,Active,0,25.4,374.3,6.72,85.3,52.689
Córrego Cabelo Duro,CD,20230911,20230911 20:20:00,Nighttime,Active,0,25.38,341.3,7.05,89.4,45.099
Córrego Cabelo Duro,CD,20230911,20230911 20:30:00,Nighttime,Active,0,25.38,335.6,6.93,87.9,43.788
Córrego Cabelo Duro,CD,20230911,20230911 20:40:00,Nighttime,Active,0,25.36,337.2,6.96,88.3,44.156
Córrego Cabelo Duro,CD,20230911,20230911 20:50:00,Nighttime,Active,0,25.34,335.9,6.8,86.2,43.857
Córrego Cabelo Duro,CD,20230911,20230911 21:00:00,Nighttime,Active,0,25.34,334.7,6.81,86.3,43.581
Córrego Cabelo Duro,CD,20230911,20230911 21:10:00,Nighttime,Active,0,25.32,332.6,6.64,84.2,43.098
