stream,sampling_date,geology_type,deposition,pr_mean,pr_sd,pr_median,k_mean,k_sd,k_median,gpp_g_m2_d,gpp_g_m2_d_sd,er_g_m2_d,er_g_m2_d_sd,nep_g_m2_d,nep_g_m2_d_sd,gpp_g_c_m2_d,gpp_g_c_m2_d_sd,er_g_c_m2_d,er_g_c_m2_d_sd,gpp_mol_c_m2_d,gpp_mol_c_m2_d_sd,er_mol_c_m2_d,er_mol_c_m2_d_sd,nep_mol_c_m2_d,daytime_ca_flux_g_m2_d,daytime_ca_flux_g_m2_d_sd,daytime_ca_standing_stock_g_m2,daytime_ca_standing_stock_g_m2_sd,daytime_ca_flux_mol_m2_d,daytime_ca_flux_mol_m2_d_sd,daytime_caco3_flux_mol_m2_d,daytime_caco3_flux_mol_m2_d_sd,nighttime_ca_flux_g_m2_d,nighttime_ca_flux_g_m2_d_sd,nighttime_ca_standing_stock_g_m2,nighttime_ca_standing_stock_g_m2_sd,nighttime_ca_flux_mol_m2_d,nighttime_ca_flux_mol_m2_d_sd,nighttime_caco3_flux_mol_m2_d,nighttime_caco3_flux_mol_m2_d_sd,net_ca_flux_g_m2_d_checked,net_ca_mol_m2_d,net_caco3_mol_m2_d,mean_standing_stock_g_m2
RA,20230901,Karst,Active,0.006463688,0.006269772,0.004536652,5.389917108,2.657749715,4.594418021,0.058855533,0.070137711,8.999283216,3.904115624,-8.940427683,3.873174914,0.018391618,0.021917158,2.868521525,1.244436855,0.001531359,0.001824909,0.238844423,0.103616724,-0.237313065,,,,,,,,,,,,,,,,,,,,
SR,20231009,Karst,Active,0.014714227,0.016960815,0.009322541,0.655935875,0.529041543,0.523346483,0.004729902,0.004606014,0.404504886,0.205908682,-0.399774984,0.205932782,0.001478035,0.001439322,0.128935932,0.065633392,0.000123067,0.000119844,0.010735715,0.005464895,-0.010612648,-2.998,0.3107,10.1625,0.0053,-0.0748,0.0078,-0.1346,0.014,1.3018,0.2129,10.0032,0.0079,0.0325,0.0053,0.0585,0.0096,-1.6962,-0.0423,-0.0762,5.00425
SR,20231010,Karst,Active,0.186864039,0.095905659,0.167395975,1.016612697,1.303823113,0.664545012,0.084554268,0.023120127,0.62885477,0.569504949,-0.544300502,0.557268741,0.026422152,0.007224751,0.200447458,0.181529702,0.002200013,0.000601561,0.016690046,0.015114879,-0.014490034,-0.9214,0.037,10.5954,0.003,-0.023,0.0009,-0.0414,0.0017,1.8397,0.0746,10.7268,0.0037,0.0459,0.0019,0.0826,0.0033,0.9183,0.0229,0.0412,5.3649
RC,20230811,Karst,Active,0.190208291,0.00373106,0.190196767,6.364006767,0.155013605,6.362287976,2.853729704,0.072258246,15.00531697,0.349308564,-12.15158726,0.305044387,0.891754861,0.022579798,4.782944783,0.111342105,0.074251029,0.001880083,0.39824686,0.009270783,-0.32399583,-286.3161,47.2761,105.6863,3.2831,-7.1436,1.1795,-12.8585,2.1232,,,,,,,,,,,,3.2831
CD,20230911,Karst,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.5844,128.8796,92.5068,6.3286,19.4008,3.2156,34.9215,5.788,,,,92.5068
CD,20231011,Karst,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1698,1.3353,62.0207,0.1298,0.5032,0.0333,0.9058,0.06,,,,62.0207
RC,20230812,Karst,Active,0.235101889,0.007642831,0.235054979,4.342183616,0.173420889,4.340888995,2.647020585,0.097036801,11.26476366,0.407075587,-8.617743075,0.357377132,0.827160845,0.030322787,3.590643417,0.129755343,0.068872677,0.002524795,0.298971142,0.010803942,-0.230098466,-56.883,15.4616,35.1081,0.4492,-1.4192,0.3858,-2.5546,0.6944,5.7073,0.6849,104.7824,0.0501,0.1424,0.0171,0.2563,0.0308,-51.1757,-1.2768,-2.2983,52.6158
CD,20230912,Karst,Active,0.083769538,0.010588462,0.083394073,6.021703961,0.829432558,5.96476037,1.545458944,0.219251783,18.57088358,2.449057704,-17.02542463,2.329835066,0.482936602,0.068513442,5.919469141,0.780637143,0.040211207,0.0057047,0.492878363,0.064998929,-0.452667156,-52.8219,4.6306,112.2684,0.2831,-1.3179,0.1155,-2.3722,0.208,17.0929,3.7619,106.4734,0.3746,0.4265,0.0939,0.7676,0.1689,-35.7291,-0.8914,-1.6046,53.37825
CD,20231012,Karst,Active,0.038555701,0.003193361,0.038539801,6.875810013,0.458557829,6.855421839,0.674542962,0.068889903,17.50223024,1.159900017,-16.82768728,1.120807372,0.210786244,0.021527234,5.578835889,0.36971813,0.017550895,0.001792442,0.464515894,0.030784191,-0.446965,-12.5349,0.2811,70.3004,0.0138,-0.3127,0.007,-0.5629,0.0126,0.9684,0.0981,66.761,0.0053,0.0242,0.0024,0.0435,0.0044,-11.5665,-0.2886,-0.5195,33.3874
RC,20230813,Karst,Active,0.219769264,0.003170167,0.219671261,5.723650375,0.123069341,5.726834435,3.289243777,0.061921925,14.96882542,0.305193779,-11.67958165,0.263230025,1.027847565,0.019349827,4.771313104,0.097280517,0.085582645,0.001611143,0.39727836,0.00809996,-0.311695715,-15.3288,2.4852,104.0261,0.132,-0.3825,0.062,-0.6884,0.1116,8.7114,1.1279,103.945,0.0825,0.2174,0.0281,0.3912,0.0507,-6.6174,-0.1651,-0.2972,52.0385
