stream,date_time,date,temp_c,do_mg_l,spc_uS_cm,depth_m,calcium_mg_l,day_period,time,reaction,calcium_g_m2,diff_h
CD,2023-09-11 18:00:00,2023-09-11,25.34,6.81,334.7,2.3408336,43.981,Nighttime,21:00:00,Dissolution,102.9522026,0
CD,2023-09-11 18:10:00,2023-09-11,25.32,6.64,332.6,2.3408336,43.498,Nighttime,21:10:00,Dissolution,101.8215799,0.166666667
CD,2023-09-11 18:20:00,2023-09-11,25.3,6.6,322.3,2.3408336,41.129,Nighttime,21:20:00,Dissolution,96.27614513,0.333333333
CD,2023-09-11 18:30:00,2023-09-11,25.3,6.49,321.6,2.3408336,40.968,Nighttime,21:30:00,Dissolution,95.89927092,0.5
CD,2023-09-11 18:40:00,2023-09-11,25.28,6.62,369.6,2.3408336,52.008,Nighttime,21:40:00,Dissolution,121.7420739,0.666666667
CD,2023-09-11 18:50:00,2023-09-11,25.26,6.81,369,2.3408336,51.87,Nighttime,21:50:00,Dissolution,121.4190388,0.833333333
CD,2023-09-11 19:00:00,2023-09-11,25.24,6.48,386.1,2.3408336,55.803,Nighttime,22:00:00,Dissolution,130.6255374,1
CD,2023-09-11 19:10:00,2023-09-11,25.24,6.41,384.7,2.3408336,55.481,Nighttime,22:10:00,Dissolution,129.871789,1.166666667
CD,2023-09-11 19:20:00,2023-09-11,25.22,6.81,382.9,2.3408336,55.067,Nighttime,22:20:00,Dissolution,128.9026839,1.333333333
CD,2023-09-11 19:30:00,2023-09-11,25.2,6.85,381.9,2.3408336,54.837,Nighttime,22:30:00,Dissolution,128.3642921,1.5
CD,2023-09-11 19:40:00,2023-09-11,25.2,6.67,376.1,2.3408336,53.503,Nighttime,22:40:00,Dissolution,125.2416201,1.666666667
CD,2023-09-11 19:50:00,2023-09-11,25.18,6.89,460,2.3408336,72.8,Nighttime,22:50:00,Dissolution,170.4126861,1.833333333
CD,2023-09-11 20:00:00,2023-09-11,25.16,6.9,459.7,2.3408336,72.731,Nighttime,23:00:00,Dissolution,170.2511686,2
CD,2023-09-12 10:00:00,2023-09-12,25.2,7.24,350.8,2.3408336,47.684,Daytime,13:00:00,Uptake,111.6203094,0
CD,2023-09-12 10:10:00,2023-09-12,25.22,7.34,350.6,2.3408336,47.638,Daytime,13:10:00,Uptake,111.512631,0.166666667
CD,2023-09-12 10:20:00,2023-09-12,25.24,6.99,351.2,2.3408336,47.776,Daytime,13:20:00,Uptake,111.8356661,0.333333333
CD,2023-09-12 10:30:00,2023-09-12,25.28,7.23,351.8,2.3408336,47.914,Daytime,13:30:00,Uptake,112.1587011,0.5
CD,2023-09-12 10:40:00,2023-09-12,25.3,7.38,351.8,2.3408336,47.914,Daytime,13:40:00,Uptake,112.1587011,0.666666667
CD,2023-09-12 10:50:00,2023-09-12,25.36,7.37,348.6,2.3408336,47.178,Daytime,13:50:00,Uptake,110.4358476,0.833333333
CD,2023-09-12 11:00:00,2023-09-12,25.4,7.16,346.6,2.3408336,46.718,Daytime,14:00:00,Uptake,109.3590641,1
CD,2023-09-12 11:10:00,2023-09-12,25.42,7.22,346.6,2.3408336,46.718,Daytime,14:10:00,Uptake,109.3590641,1.166666667
CD,2023-09-12 11:20:00,2023-09-12,25.42,7.37,345.6,2.3408336,46.488,Daytime,14:20:00,Uptake,108.8206724,1.333333333
CD,2023-09-12 11:30:00,2023-09-12,25.44,7.27,345.4,2.3408336,46.442,Daytime,14:30:00,Uptake,108.7129941,1.5
CD,2023-09-12 11:40:00,2023-09-12,25.44,7.2,344.4,2.3408336,46.212,Daytime,14:40:00,Uptake,108.1746023,1.666666667
CD,2023-09-12 11:50:00,2023-09-12,25.44,7.23,344.2,2.3408336,46.166,Daytime,14:50:00,Uptake,108.066924,1.833333333
CD,2023-09-12 12:00:00,2023-09-12,25.46,7.34,344.2,2.3408336,46.166,Daytime,15:00:00,Uptake,108.066924,2
CD,2023-09-12 12:10:00,2023-09-12,25.48,7.35,343.5,2.3408336,46.005,Daytime,15:10:00,Uptake,107.6900498,2.166666667
CD,2023-09-12 12:20:00,2023-09-12,25.5,7.34,343.3,2.3408336,45.959,Daytime,15:20:00,Uptake,107.5823714,2.333333333
CD,2023-09-12 12:30:00,2023-09-12,25.52,7.37,341.7,2.3408336,45.591,Daytime,15:30:00,Uptake,106.7209447,2.5
CD,2023-09-12 12:40:00,2023-09-12,25.54,7.35,341.6,2.3408336,45.568,Nighttime,15:40:00,Dissolution,106.6671055,0
CD,2023-09-12 12:50:00,2023-09-12,25.54,6.98,341.8,2.3408336,45.614,Nighttime,15:50:00,Dissolution,106.7747838,0.166666667
CD,2023-09-12 13:00:00,2023-09-12,25.56,7.3,341.7,2.3408336,45.591,Nighttime,16:00:00,Dissolution,106.7209447,0.333333333
CD,2023-09-12 15:00:00,2023-09-12,25.64,7.18,343.9,2.3408336,46.097,Nighttime,18:00:00,Dissolution,107.9054065,2.333333333
CD,2023-09-12 15:10:00,2023-09-12,25.64,7.13,343.9,2.3408336,46.097,Nighttime,18:10:00,Dissolution,107.9054065,2.5
CD,2023-09-12 15:20:00,2023-09-12,25.64,7.01,343.2,2.3408336,45.936,Nighttime,18:20:00,Dissolution,107.5285322,2.666666667
CD,2023-09-12 15:30:00,2023-09-12,25.64,7.18,343.3,2.3408336,45.959,Nighttime,18:30:00,Dissolution,107.5823714,2.833333333
CD,2023-09-12 15:40:00,2023-09-12,25.64,7.15,346.3,2.3408336,46.649,Nighttime,18:40:00,Dissolution,109.1975466,3
CD,2023-09-12 15:50:00,2023-09-12,25.62,7.04,346.4,2.3408336,46.672,Nighttime,18:50:00,Dissolution,109.2513858,3.166666667
CD,2023-09-12 16:00:00,2023-09-12,25.62,7,347.2,2.3408336,46.856,Nighttime,19:00:00,Dissolution,109.6820992,3.333333333
CD,2023-09-13 07:00:00,2023-09-13,25.08,7.23,334.8,2.3408336,44.004,Daytime,10:00:00,Uptake,103.0060417,0
CD,2023-09-13 07:10:00,2023-09-13,25.1,7.23,333.9,2.3408336,43.797,Daytime,10:10:00,Uptake,102.5214892,0.166666667
CD,2023-09-13 07:20:00,2023-09-13,25.12,7.21,334.1,2.3408336,43.843,Daytime,10:20:00,Uptake,102.6291675,0.333333333
CD,2023-09-13 07:30:00,2023-09-13,25.14,7.23,333.6,2.3408336,43.728,Daytime,10:30:00,Uptake,102.3599717,0.5
CD,2023-09-13 07:40:00,2023-09-13,25.16,7.22,333.8,2.3408336,43.774,Daytime,10:40:00,Uptake,102.46765,0.666666667
CD,2023-09-13 07:50:00,2023-09-13,25.18,7.25,334.8,2.3408336,44.004,Daytime,10:50:00,Uptake,103.0060417,0.833333333
CD,2023-09-13 08:00:00,2023-09-13,25.2,7.28,334.2,2.3408336,43.866,Daytime,11:00:00,Uptake,102.6830067,1
CD,2023-09-13 08:10:00,2023-09-13,25.22,7.24,333.6,2.3408336,43.728,Daytime,11:10:00,Uptake,102.3599717,1.166666667
CD,2023-09-13 08:20:00,2023-09-13,25.24,7.31,334.3,2.3408336,43.889,Daytime,11:20:00,Uptake,102.7368459,1.333333333
CD,2023-09-13 08:30:00,2023-09-13,25.26,7.31,334.4,2.3408336,43.912,Daytime,11:30:00,Uptake,102.790685,1.5
CD,2023-09-13 08:40:00,2023-09-13,25.3,7.32,333.8,2.3408336,43.774,Daytime,11:40:00,Uptake,102.46765,1.666666667
CD,2023-09-13 08:50:00,2023-09-13,25.34,7.33,333.8,2.3408336,43.774,Daytime,11:50:00,Uptake,102.46765,1.833333333
CD,2023-09-13 09:00:00,2023-09-13,25.38,7.3,333.2,2.3408336,43.636,Daytime,12:00:00,Uptake,102.144615,2
CD,2023-09-13 09:10:00,2023-09-13,25.4,7.32,333.5,2.3408336,43.705,Daytime,12:10:00,Uptake,102.3061325,2.166666667
CD,2023-09-13 09:20:00,2023-09-13,25.42,7.32,332.9,2.3408336,43.567,Daytime,12:20:00,Uptake,101.9830975,2.333333333
CD,2023-09-13 09:30:00,2023-09-13,25.46,7.31,334.3,2.3408336,43.889,Daytime,12:30:00,Uptake,,2.5
CD,2023-09-13 09:40:00,2023-09-13,25.48,7.36,333.4,2.3408336,43.682,Daytime,12:40:00,Uptake,102.2522933,2.666666667
CD,2023-09-13 09:50:00,2023-09-13,25.5,7.35,332.3,2.3408336,43.429,Daytime,12:50:00,Uptake,101.6600624,2.833333333
CD,2023-09-13 10:00:00,2023-09-13,25.52,7.31,330.9,2.3408336,43.107,Daytime,13:00:00,Uptake,,3
CD,2023-09-13 10:10:00,2023-09-13,25.54,7.36,330.9,2.3408336,43.107,Daytime,13:10:00,Uptake,,3.166666667
CD,2023-09-13 10:20:00,2023-09-13,25.54,7.31,330.9,2.3408336,43.107,Daytime,13:20:00,Uptake,,3.333333333
CD,2023-09-13 10:30:00,2023-09-13,25.54,7.34,332.1,2.3408336,43.383,Daytime,13:30:00,Uptake,101.5523841,3.5
CD,2023-09-13 10:40:00,2023-09-13,25.54,7.27,332.3,2.3408336,43.429,Daytime,13:40:00,Uptake,101.6600624,3.666666667
CD,2023-09-13 10:50:00,2023-09-13,25.62,7.33,332.3,2.3408336,43.429,Daytime,13:50:00,Uptake,101.6600624,3.833333333
CD,2023-09-13 14:00:00,2023-09-13,25.86,7.18,331.4,2.3408336,43.222,Nighttime,17:00:00,Dissolution,101.1755099,0
CD,2023-09-13 14:10:00,2023-09-13,25.84,7.1,332,2.3408336,43.36,Nighttime,17:10:00,Dissolution,101.4985449,0.166666667
CD,2023-09-13 14:20:00,2023-09-13,25.82,7.11,332.5,2.3408336,43.475,Nighttime,17:20:00,Dissolution,101.7677408,0.333333333
CD,2023-09-13 14:30:00,2023-09-13,25.8,7.1,332.3,2.3408336,43.429,Nighttime,17:30:00,Dissolution,101.6600624,0.5
CD,2023-09-13 14:40:00,2023-09-13,25.78,7.12,332.9,2.3408336,43.567,Nighttime,17:40:00,Dissolution,101.9830975,0.666666667
CD,2023-09-13 14:50:00,2023-09-13,25.76,7.11,333.4,2.3408336,43.682,Nighttime,17:50:00,Dissolution,102.2522933,0.833333333
CD,2023-09-13 15:00:00,2023-09-13,25.74,7.05,333.6,2.3408336,43.728,Nighttime,18:00:00,Dissolution,102.3599717,1
CD,2023-09-13 15:10:00,2023-09-13,25.72,7.09,333.7,2.3408336,43.751,Nighttime,18:10:00,Dissolution,102.4138108,1.166666667
CD,2023-09-13 15:20:00,2023-09-13,25.7,7.02,333.9,2.3408336,43.797,Nighttime,18:20:00,Dissolution,102.5214892,1.333333333
CD,2023-09-13 15:30:00,2023-09-13,25.68,6.9,334,2.3408336,43.82,Nighttime,18:30:00,Dissolution,102.5753284,1.5
CD,2023-09-13 15:40:00,2023-09-13,25.68,6.99,333.4,2.3408336,43.682,Nighttime,18:40:00,Dissolution,102.2522933,1.666666667
CD,2023-09-13 15:50:00,2023-09-13,25.66,7.01,333.5,2.3408336,43.705,Nighttime,18:50:00,Dissolution,102.3061325,1.833333333
CD,2023-09-13 16:00:00,2023-09-13,25.64,7,333.6,2.3408336,43.728,Nighttime,19:00:00,Dissolution,102.3599717,2
CD,2023-09-13 23:00:00,2023-09-14,25.04,6.74,335.9,2.3408336,44.257,Nighttime,2:00:00,Dissolution,103.5982726,0
CD,2023-09-13 23:10:00,2023-09-14,25.02,6.72,335.5,2.3408336,44.165,Nighttime,2:10:00,Dissolution,103.3829159,0.166666667
CD,2023-09-13 23:20:00,2023-09-14,25,6.66,335.3,2.3408336,44.119,Nighttime,2:20:00,Dissolution,103.2752376,0.333333333
CD,2023-09-13 23:30:00,2023-09-14,24.98,6.7,335.1,2.3408336,44.073,Nighttime,2:30:00,Dissolution,103.1675593,0.5
CD,2023-09-13 23:40:00,2023-09-14,24.96,6.71,334.7,2.3408336,43.981,Nighttime,2:40:00,Dissolution,102.9522026,0.666666667
CD,2023-09-13 23:50:00,2023-09-14,24.96,6.64,335.3,2.3408336,44.119,Nighttime,2:50:00,Dissolution,,0.833333333
CD,2023-09-14 00:00:00,2023-09-14,24.94,6.7,335.1,2.3408336,44.073,Nighttime,3:00:00,Dissolution,,1
CD,2023-09-14 05:00:00,2023-09-14,24.7,6.98,334,2.3408336,43.82,Daytime,8:00:00,Uptake,102.5753284,0
CD,2023-09-14 05:10:00,2023-09-14,24.7,7,333.6,2.3408336,43.728,Daytime,8:10:00,Uptake,102.3599717,0.166666667
CD,2023-09-14 05:20:00,2023-09-14,24.68,6.99,334.8,2.3408336,44.004,Daytime,8:20:00,Uptake,103.0060417,0.333333333
CD,2023-09-14 05:30:00,2023-09-14,24.68,7.04,333.6,2.3408336,43.728,Daytime,8:30:00,Uptake,102.3599717,0.5
CD,2023-09-14 05:40:00,2023-09-14,24.68,7.01,333.2,2.3408336,43.636,Daytime,8:40:00,Uptake,102.144615,0.666666667
CD,2023-09-14 05:50:00,2023-09-14,24.68,6.97,333.2,2.3408336,43.636,Daytime,8:50:00,Uptake,102.144615,0.833333333
CD,2023-09-14 06:00:00,2023-09-14,24.68,7.02,331.7,2.3408336,43.291,Daytime,9:00:00,Uptake,101.3370274,1
CD,2023-09-14 06:10:00,2023-09-14,24.68,6.97,330.6,2.3408336,43.038,Daytime,9:10:00,Uptake,100.7447965,1.166666667
CD,2023-09-14 06:20:00,2023-09-14,24.68,6.98,330.2,2.3408336,42.946,Daytime,9:20:00,Uptake,100.5294398,1.333333333
CD,2023-09-14 06:30:00,2023-09-14,24.68,7.02,329.8,2.3408336,42.854,Daytime,9:30:00,Uptake,100.3140831,1.5
CD,2023-09-14 06:40:00,2023-09-14,24.66,7.05,329.8,2.3408336,42.854,Daytime,9:40:00,Uptake,100.3140831,1.666666667
CD,2023-09-14 06:50:00,2023-09-14,24.66,7.07,329,2.3408336,42.67,Daytime,9:50:00,Uptake,99.88336971,1.833333333
CD,2023-09-14 07:00:00,2023-09-14,24.66,7.01,328.6,2.3408336,42.578,Daytime,10:00:00,Uptake,99.66801302,2
CD,2023-09-14 07:10:00,2023-09-14,24.66,7.06,329,2.3408336,42.67,Daytime,10:10:00,Uptake,99.88336971,2.166666667
CD,2023-09-14 07:20:00,2023-09-14,24.66,7.03,329.1,2.3408336,42.693,Daytime,10:20:00,Uptake,99.93720888,2.333333333
CD,2023-09-14 07:30:00,2023-09-14,24.66,7.06,329,2.3408336,42.67,Daytime,10:30:00,Uptake,,2.5
CD,2023-09-14 07:40:00,2023-09-14,24.66,7.08,329.1,2.3408336,42.693,Daytime,10:40:00,Uptake,,2.666666667
CD,2023-09-14 07:50:00,2023-09-14,24.64,7.06,329.2,2.3408336,42.716,Daytime,10:50:00,Uptake,,2.833333333
CD,2023-09-14 08:00:00,2023-09-14,24.64,7.05,329.2,2.3408336,42.716,Daytime,11:00:00,Uptake,,3
CD,2023-09-14 08:10:00,2023-09-14,24.64,7.03,328.9,2.3408336,42.647,Daytime,11:10:00,Uptake,,3.166666667
CD,2023-09-14 08:20:00,2023-09-14,24.64,7.06,328.9,2.3408336,42.647,Daytime,11:20:00,Uptake,,3.333333333
CD,2023-09-14 08:30:00,2023-09-14,24.62,7.09,328.2,2.3408336,42.486,Daytime,11:30:00,Uptake,,3.5
CD,2023-09-14 08:40:00,2023-09-14,24.62,7.11,327.9,2.3408336,42.417,Daytime,11:40:00,Uptake,,3.666666667
CD,2023-09-14 08:50:00,2023-09-14,24.62,7.11,328.7,2.3408336,42.601,Daytime,11:50:00,Uptake,,3.833333333
CD,2023-09-14 09:00:00,2023-09-14,24.6,7.05,328.7,2.3408336,42.601,Daytime,12:00:00,Uptake,,4
CD,2023-10-11 16:04:00,2023-10-11,27.09,5.849,346.72,1.30704556,46.7456,Nighttime,19:00:00,Dissolution,61.09862893,0
CD,2023-10-11 16:14:00,2023-10-11,26.984,6.037,348.285,1.30704556,47.10555,Nighttime,19:10:00,Dissolution,61.56909998,0.166666667
CD,2023-10-11 16:24:00,2023-10-11,26.944,6.028,349.36,1.30704556,47.3528,Nighttime,19:20:00,Dissolution,61.89226699,0.333333333
CD,2023-10-11 16:34:00,2023-10-11,26.94,6.087,351.34,1.30704556,47.8082,Nighttime,19:30:00,Dissolution,62.48749554,0.5
CD,2023-10-11 16:44:00,2023-10-11,26.926,6.122,352.46,1.30704556,48.0658,Nighttime,19:40:00,Dissolution,62.82419048,0.666666667
CD,2023-10-11 16:54:00,2023-10-11,26.92,6.079,353.065,1.30704556,48.20495,Nighttime,19:50:00,Dissolution,63.00606587,0.833333333
CD,2023-10-11 17:04:00,2023-10-11,26.912,6.045,353.62,1.30704556,48.3326,Nighttime,20:00:00,Dissolution,63.17291023,1
CD,2023-10-11 17:14:00,2023-10-11,26.9,6.066,354.125,1.30704556,48.44875,Nighttime,20:10:00,Dissolution,63.32472358,1.166666667
CD,2023-10-11 17:24:00,2023-10-11,26.9,6.099,354.635,1.30704556,48.56605,Nighttime,20:20:00,Dissolution,63.47804002,1.333333333
CD,2023-10-11 17:34:00,2023-10-11,26.892,6.1,354.7,1.30704556,48.581,Nighttime,20:30:00,Dissolution,63.49758035,1.5
CD,2023-10-11 17:44:00,2023-10-11,26.88,6.103,355.065,1.30704556,48.66495,Nighttime,20:40:00,Dissolution,63.60730683,1.666666667
CD,2023-10-11 17:54:00,2023-10-11,26.866,6.022,355.655,1.30704556,48.80065,Nighttime,20:50:00,Dissolution,63.78467291,1.833333333
CD,2023-10-11 18:04:00,2023-10-11,26.86,6.052,355.995,1.30704556,48.87885,Nighttime,21:00:00,Dissolution,63.88688387,2
CD,2023-10-11 18:14:00,2023-10-11,26.846,6.054,356.51,1.30704556,48.9973,Nighttime,21:10:00,Dissolution,64.04170342,2.166666667
